"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"CHOYP_1433E.1.2|m.3638","23C-29C",0.182439861436883,0.356500506246979,0.511752040291608,10,0.619934691752746,0.915554053878836,NA,0.75,0.5
"CHOYP_1433G.2.2|m.63450","23C-29C",-0.0680645799297595,0.165852848820779,-0.410391382564132,14,0.687730471331845,0.924386391330923,NA,0.75,0.75
"CHOYP_1433Z.1.1|m.17045","23C-29C",0.352032266160703,0.370642910065943,0.949788210161826,10,0.364609229060119,0.810082117636036,NA,0.75,0.5
"CHOYP_2AAA.1.1|m.13306","23C-29C",-0.0631327803636838,0.497114285377406,-0.126998523721268,10,0.901458941770495,0.975481854245585,NA,0.75,0.5
"CHOYP_4EBP1.1.1|m.12045","23C-29C",-1.12422752513851,0.465584348034118,-2.41465919094026,2,0.137103108592012,0.740463691863746,NA,0.75,0
"CHOYP_A2M.2.3|m.54214","23C-29C",-0.447178109227809,0.0841004032425401,-5.31719340201231,2,0.0335976316160145,0.604616192051381,NA,0.75,0
"CHOYP_A4.3.3|m.22262","23C-29C",-1.50941201627639,0.779431985416337,-1.93655385526697,2,0.192418127455323,0.755291483853031,NA,0.75,0
"CHOYP_AACS.1.1|m.66267","23C-29C",-0.575757519557594,0.273310847053,-2.10660325327645,10,0.0613918993432676,0.649576607707543,NA,0.607142857142857,0.357142857142857
"CHOYP_AADAT.1.1|m.12672","23C-29C",0.149025308678605,0.125428906915432,1.18812570677254,2,0.356748774665141,0.805442347559829,NA,0.75,0
"CHOYP_AAEL_AAEL003539.1.1|m.16620","23C-29C",-0.481159522936107,0.0360411498005162,-13.3502822634481,1,0.0475969810127788,0.631601380282744,NA,0.8125,0
"CHOYP_AAEL_AAEL005197.1.1|m.59507","23C-29C",-0.707562197266682,0.35540316103867,-1.99087198661606,2,0.184751273788767,0.755170267806893,NA,0.75,0
"CHOYP_AAEL_AAEL005639.1.1|m.10386","23C-29C",-4.80781132297109,1.20589864357139,-3.98691162694427,2,0.05753523273817,0.649576607707543,NA,0.75,0
"CHOYP_AAEL_AAEL009169.1.1|m.24699","23C-29C",0.393092398779063,0.675552953247044,0.581882437031272,6,0.581833387513555,0.900766166822052,NA,0.75,0.25
"CHOYP_AAEL_AAEL009387.1.1|m.66163","23C-29C",1.03568294330916,0.741054744680939,1.39757953206962,2,0.297088627039513,0.782898807746408,NA,0.75,0
"CHOYP_AAEL_AAEL011527.1.1|m.20909","23C-29C",0.288422403310182,0.496015199524173,0.581478961908557,10,0.573790315390391,0.894227518228585,NA,0.695652173913043,0.445652173913043
"CHOYP_AAEL_AAEL011742.1.1|m.27651","23C-29C",-0.524348368025667,0.0679356316933323,-7.71831150982188,2,0.0163751333489166,0.571079280916169,NA,0.75,0
"CHOYP_AAEL_AAEL011979.1.1|m.59057","23C-29C",0.22333862222055,0.221794122151892,1.0069636654645,10,0.337695970703234,0.800061824407128,NA,0.75,0.5
"CHOYP_AAEL_AAEL012950.1.1|m.1373","23C-29C",-0.442681810925614,0.308700821412617,-1.43401565599955,9,0.185383871212912,0.755170267806893,NA,0.7578125,0.4453125
"CHOYP_AAEL_AAEL015271.1.1|m.56223","23C-29C",0.552124802955488,0.28876493602193,1.912021627562,6,0.104414828170214,0.715909500717965,NA,0.75,0.25
"CHOYP_AAMP.1.1|m.13698","23C-29C",-0.22393585269643,0.152040334964645,-1.47287134528153,2,0.278675578518069,0.776036128513733,NA,0.75,0
"CHOYP_AATM.1.1|m.32176","23C-29C",-0.122023815578892,0.184792865551032,-0.660327525172738,14,0.519761133758301,0.875492454938614,NA,0.75,0.75
"CHOYP_ABCB6.2.3|m.11344","23C-29C",0.0385671259792971,0.118586189143933,0.325224431763185,10,0.751713399401617,0.937321646167448,NA,0.75,0.5
"CHOYP_ABCD3.1.1|m.14559","23C-29C",-1.36288287680068,0.186808006404372,-7.29563418095969,2,0.0182742969562668,0.571079280916169,NA,0.75,0
"CHOYP_ABCF2.1.2|m.28360","23C-29C",-0.6399409930468,0.44333064222821,-1.44348468635151,10,0.179470283334569,0.754345558929546,NA,0.75,0.5
"CHOYP_ACA1_394750.1.2|m.54181","23C-29C",-1.17954992552323,0.379039667064714,-3.11194322920784,2,0.0895997924991265,0.7032296760207,NA,0.75,0
"CHOYP_ACAA2.1.1|m.30666","23C-29C",0.513783793231594,0.435698885815135,1.1792175971953,10,0.265606246676863,0.765470982532739,NA,0.703488372093023,0.453488372093023
"CHOYP_ACAD8.1.1|m.9135","23C-29C",-0.273891260263567,0.272319922794927,-1.00577018916763,2,0.420435183370047,0.839664707350897,NA,0.75,0
"CHOYP_ACADL.1.1|m.5508","23C-29C",0.0683795838317543,0.133379311270024,0.512670092390274,14,0.616175073524066,0.915554053878836,NA,0.721590909090909,0.721590909090909
"CHOYP_ACDOPBH.1.9|m.8787","23C-29C",-0.165485904158622,1.0899218936159,-0.15183281033984,2,0.893251451457344,0.972201063948685,NA,0.75,0
"CHOYP_ACDOPBH.6.9|m.45878","23C-29C",2.01084348928845,0.465448074909185,4.32023161698712,1,0.144807571485628,0.741256691464442,NA,0.8125,0
