Row Labels	Day 5- 23C (Silo 9)/sum*100	Day 5- 29C (Silo 8)/sum*100	Day 8- 23C (Silo 9)/sum*100	Day 8- 29C (Silo 8)/sum*100
CGI_10008717	13	32	22	33
CGI_10006016	11	36	18	35
CGI_10013293	13	32	20	34
CGI_10028368	11	33	19	36
CGI_10022332	15	35	19	31
CGI_10022396	17	33	22	29
CGI_10014966	8	37	21	34
CGI_10004762	18	28	26	28
CGI_10020922	14	29	27	29
CGI_10022154	9	35	19	37
CGI_10028694	16	32	22	30
CGI_10014916	12	36	22	30
CGI_10008722	11	36	18	35
CGI_10027300	11	36	18	35
CGI_10002689	24	27	19	30
CGI_10009876	15	30	26	30
CGI_10027502	14	33	16	37
CGI_10024887	12	32	23	33
CGI_10020447	13	31	23	33
CGI_10000194	15	31	25	29
CGI_10001245	19	30	20	30
CGI_10015152	13	32	24	31
CGI_10023717	15	34	25	26
CGI_10019423	20	30	25	25
CGI_10006610	8	45	14	34
CGI_10024309	13	35	21	31
CGI_10010682	10	35	27	29
CGI_10010529	10	37	23	30
CGI_10023610	5	38	16	41
CGI_10022058	10	37	17	35
CGI_10002375	20	31	27	23
CGI_10028148	15	31	24	30
CGI_10007702	15	30	25	30
CGI_10012555	7	37	20	35
CGI_10006807	22	32	21	24
CGI_10018743	9	41	23	27
CGI_10015004	6	37	17	40
CGI_10028202	9	34	24	33
CGI_10016722	13	31	33	24
CGI_10018568	14	33	22	30
CGI_10014226	10	34	24	32
CGI_10016721	12	31	33	24
CGI_10000602	19	31	21	29
CGI_10024772	12	37	25	26
CGI_10021712	19	30	26	25
CGI_10016162	8	41	16	34
CGI_10016140	17	29	22	32
CGI_10023084	13	34	21	32
CGI_10027917	18	31	22	29
CGI_10026913	17	44	18	22
CGI_10018053	9	35	18	37
CGI_10004092	0	17	11	72
CGI_10018833	0	17	11	72
CGI_10013084	20	33	23	24
CGI_10019448	13	29	20	38
CGI_10015322	0	47	12	41
CGI_10025379	16	34	21	30
CGI_10007104	14	33	23	29
CGI_10017454	13	31	22	34
CGI_10028469	14	33	22	32
CGI_10015666	14	36	15	35
CGI_10000595	11	32	26	32
CGI_10009164	11	32	26	32
CGI_10021647	13	34	23	30
CGI_10009847	8	40	15	37
CGI_10026535	12	34	26	28
CGI_10020975	20	32	25	23
CGI_10026681	17	38	17	27
CGI_10013163	20	32	27	20
CGI_10006022	22	30	21	27
CGI_10002594	10	37	17	35
CGI_10010646	10	37	17	35
CGI_10010647	10	37	17	35
CGI_10019801	11	36	20	33
CGI_10013845	15	30	24	32
CGI_10027157	15	32	23	30
CGI_10017823	12	38	18	32
CGI_10017958	18	32	22	28
CGI_10004346	17	31	25	28
CGI_10025556	11	37	19	33
CGI_10019050	11	33	21	35
CGI_10017309	12	34	20	33
CGI_10006000	13	33	27	26
CGI_10003553	10	36	13	41
CGI_10012348	10	18	39	32
CGI_10008390	8	35	18	39
CGI_10008101	15	33	23	29
CGI_10006482	24	25	24	27
CGI_10026186	14	32	21	33
CGI_10007812	9	38	15	38
CGI_10015642	13	31	21	36
CGI_10011125	10	38	17	35
CGI_10008531	15	33	21	31
CGI_10021397	8	35	21	36
CGI_10017227	13	35	18	34
CGI_10008455	14	34	18	33
CGI_10008056	13	20	21	46
CGI_10008061	13	20	21	46
CGI_10008067	13	20	21	46
CGI_10008072	13	20	21	46
CGI_10008077	13	20	21	46
CGI_10008082	13	20	21	46
CGI_10008087	13	20	21	46
CGI_10023458	12	35	19	35
CGI_10028508	7	33	23	36
CGI_10019706	9	42	22	26
CGI_10006413	14	35	24	28
CGI_10022551	9	35	18	38
CGI_10007347	15	32	22	31
CGI_10014767	20	29	27	24
CGI_10022483	16	30	21	33
CGI_10012729	17	29	29	25
CGI_10007551	10	36	13	41
CGI_10010622	17	33	23	27
CGI_10020105	11	36	22	31
CGI_10008057	8	37	15	41
CGI_10008062	8	37	15	41
CGI_10008068	8	37	15	41
CGI_10008073	8	37	15	41
CGI_10008078	8	37	15	41
CGI_10008083	8	37	15	41
CGI_10026148	0	16	13	71
CGI_10007757	13	38	23	26
CGI_10023335	14	34	22	30
CGI_10005185	11	33	18	38
CGI_10004652	21	26	22	31
CGI_10009395	15	32	25	28
CGI_10011640	17	30	26	27
CGI_10027210	92	3	2	3
CGI_10019253	13	29	15	44
CGI_10024475	17	35	22	27
CGI_10003462	12	33	19	36
CGI_10012671	6	33	18	43
CGI_10020961	12	29	28	30
CGI_10021482	16	30	19	35
CGI_10025809	9	36	17	38
CGI_10021483	16	30	20	35
CGI_10011187	18	32	24	26
CGI_10028701	11	34	20	35
CGI_10021852	15	33	21	31
CGI_10007057	12	36	23	29
CGI_10004855	6	38	14	43
CGI_10019707	9	43	22	26
CGI_10018683	11	34	22	32
CGI_10004563	12	33	26	30
CGI_10006272	14	31	18	37
CGI_10016720	20	32	24	24
CGI_10019696	22	29	25	25
CGI_10012808	16	37	24	24
CGI_10003765	19	32	21	28
CGI_10014332	19	29	34	18
CGI_10012611	10	24	23	44
CGI_10025445	20	28	29	24
CGI_10027347	16	30	22	32
CGI_10021398	12	31	24	33
CGI_10008877	13	33	20	34
CGI_10023439	12	29	24	35
CGI_10024554	10	36	27	27
CGI_10025126	12	33	22	33
CGI_10003539	13	34	19	33
CGI_10014752	12	32	21	35
CGI_10005226	10	38	23	30
CGI_10009537	17	30	21	33
CGI_10027566	13	34	23	31
CGI_10019543	12	35	26	28
CGI_10025594	18	29	21	31
CGI_10020381	11	34	19	36
CGI_10003564	20	33	24	24
CGI_10020153	6	42	14	37
CGI_10009326	4	44	19	33
CGI_10008055	11	26	17	45
CGI_10016741	10	41	25	24
CGI_10013062	8	38	18	35
CGI_10019631	15	31	24	30
CGI_10003372	16	34	28	22
CGI_10005346	11	35	21	33
CGI_10009991	22	25	28	25
CGI_10008688	14	33	18	36
CGI_10020867	20	29	29	22
CGI_10023440	14	33	23	30
CGI_10021874	11	36	24	29
CGI_10012472	10	34	16	40
CGI_10023407	17	30	22	31
CGI_10016257	12	37	21	29
CGI_10024289	13	36	20	31
CGI_10026639	11	32	20	37
CGI_10001665	16	51	6	27
CGI_10005425	9	30	21	41
CGI_10015523	15	29	23	33
CGI_10000231	6	38	13	43
CGI_10025935	10	38	20	32
CGI_10001663	11	33	27	30
CGI_10023627	15	35	18	33
CGI_10018499	13	41	20	26
CGI_10020449	10	38	22	30
CGI_10022522	9	37	19	35
CGI_10023024	10	34	22	34
CGI_10021672	19	34	26	21
CGI_10012871	14	29	24	33
CGI_10003170	8	42	12	38
CGI_10017163	13	41	19	28
CGI_10025806	7	33	18	42
CGI_10003355	8	37	18	37
CGI_10025192	21	28	27	24
CGI_10012919	4	39	16	40
CGI_10021773	4	39	16	40
CGI_10017767	8	39	24	29
CGI_10000096	11	38	19	33
CGI_10021848	11	38	19	33
CGI_10019175	16	33	20	30
CGI_10016366	11	33	20	36
CGI_10020746	12	33	23	33
CGI_10014243	17	34	19	30
CGI_10011511	14	32	21	32
CGI_10020579	9	37	15	39
CGI_10001357	18	23	26	32
CGI_10014314	13	31	20	35
CGI_10007733	14	32	23	31
CGI_10013567	13	34	26	28
CGI_10003354	12	39	21	28
CGI_10007455	0	54	0	46
CGI_10012353	9	37	25	29
CGI_10026412	21	32	23	25
CGI_10009059	9	28	21	42
CGI_10027742	9	28	21	42
CGI_10021188	13	33	22	32
CGI_10026265	14	30	19	37
CGI_10000075	10	36	17	37
CGI_10020305	10	36	17	37
CGI_10008664	7	36	19	38
CGI_10028384	7	64	26	3
CGI_10001648	17	29	26	28
CGI_10003329	17	29	26	28
CGI_10009719	12	31	22	35
CGI_10014553	17	33	18	33
CGI_10017461	8	37	16	39
CGI_10013946	12	30	24	35
CGI_10019942	11	33	24	32
CGI_10002226	13	31	28	28
CGI_10023649	13	31	28	28
CGI_10003195	10	25	19	46
CGI_10018918	16	30	24	30
CGI_10008607	10	37	22	31
CGI_10007751	12	32	27	29
CGI_10012574	13	26	21	39
CGI_10017255	13	34	19	34
CGI_10005381	14	36	18	32
CGI_10007643	12	31	30	26
CGI_10001640	5	39	19	37
CGI_10027254	10	27	31	32
CGI_10004058	12	34	24	30
CGI_10014092	16	31	25	27
CGI_10010021	11	34	23	33
CGI_10001493	13	36	26	25
CGI_10007931	13	36	26	25
CGI_10009812	9	41	19	31
CGI_10026047	6	36	21	37
CGI_10005784	5	37	16	41
CGI_10007050	15	34	24	27
CGI_10018336	20	25	32	24
CGI_10002311	15	31	20	33
CGI_10023767	26	28	22	24
CGI_10007483	16	34	21	29
CGI_10027449	11	33	17	38
CGI_10023347	18	31	22	29
CGI_10018261	18	31	23	28
CGI_10022016	15	31	25	29
CGI_10013291	4	39	15	42
CGI_10028471	13	34	25	28
CGI_10001554	11	36	28	25
CGI_10019491	13	31	22	34
CGI_10007870	12	30	25	34
CGI_10018067	16	34	18	32
CGI_10026056	19	29	27	25
CGI_10026385	13	34	23	30
CGI_10015426	13	35	19	33
CGI_10017582	14	33	17	36
CGI_10019530	13	32	19	36
CGI_10010841	16	30	25	28
CGI_10023099	4	39	22	35
CGI_10005552	21	32	20	27
CGI_10017668	17	36	22	25
CGI_10012452	17	31	25	28
CGI_10022015	8	42	14	37
CGI_10017403	14	28	24	34
CGI_10019654	8	33	21	38
CGI_10015576	25	44	9	22
CGI_10028032	23	31	21	25
CGI_10026867	12	35	19	34
CGI_10004478	10	52	13	26
CGI_10017251	14	29	21	36
CGI_10006939	22	26	23	29
CGI_10026346	6	42	23	29
CGI_10017557	15	34	20	30
CGI_10002919	10	42	26	22
CGI_10017292	10	42	26	22
CGI_10012156	27	26	20	26
CGI_10005339	16	33	18	33
CGI_10018844	37	29	18	16
CGI_10018845	37	29	18	16
CGI_10008332	9	43	14	34
CGI_10020238	8	37	17	38
CGI_10014151	12	28	32	27
CGI_10022305	15	33	20	33
CGI_10017030	3	47	14	35
CGI_10019522	20	33	21	25
CGI_10011113	19	30	24	27
CGI_10026058	18	31	25	26
CGI_10028871	14	29	20	38
CGI_10004590	9	34	16	41
CGI_10027129	8	42	13	37
CGI_10022163	15	31	24	31
CGI_10012352	8	43	17	33
CGI_10010480	19	32	23	26
CGI_10004564	14	36	22	28
CGI_10001705	11	33	27	29
CGI_10015155	14	31	24	32
CGI_10020432	13	30	23	34
CGI_10026515	17	29	26	28
CGI_10024065	7	34	27	33
CGI_10007986	8	41	19	33
CGI_10023479	12	31	28	29
CGI_10004179	17	32	20	32
CGI_10023716	20	30	18	32
CGI_10011031	11	37	17	36
CGI_10015239	7	32	19	42
CGI_10024801	14	27	28	31
CGI_10018991	16	31	26	28
CGI_10025016	10	35	24	31
CGI_10016965	12	34	28	26
CGI_10027448	16	34	17	33
CGI_10019936	12	16	26	46
CGI_10028528	3	42	18	37
CGI_10020409	15	27	28	31
CGI_10024545	9	35	18	38
CGI_10016812	14	35	24	27
CGI_10012339	12	38	16	33
CGI_10011934	12	38	21	29
CGI_10010028	9	36	14	41
CGI_10007134	13	34	21	32
CGI_10021957	16	31	27	26
CGI_10021754	14	27	19	40
CGI_10009651	16	34	24	26
CGI_10020973	6	34	19	41
CGI_10021563	6	44	18	32
CGI_10000078	12	37	18	33
CGI_10015118	8	34	24	34
CGI_10027722	14	33	15	39
CGI_10003981	12	16	26	47
CGI_10014208	11	33	20	35
CGI_10024342	9	37	19	34
CGI_10011964	15	29	23	34
CGI_10028775	12	34	20	33
CGI_10008493	17	38	17	27
CGI_10022642	9	42	13	36
CGI_10026868	9	34	22	34
CGI_10024132	19	28	25	28
CGI_10003886	17	31	20	32
CGI_10002160	9	40	19	32
CGI_10013115	10	29	28	33
CGI_10018366	10	38	16	35
CGI_10008850	11	37	10	42
CGI_10024931	12	31	23	35
CGI_10010066	16	34	23	28
CGI_10009093	8	41	15	36
CGI_10012828	13	37	22	28
CGI_10004395	18	30	24	28
CGI_10013578	23	29	29	19
CGI_10022032	10	32	23	35
CGI_10015594	19	31	24	27
CGI_10010936	14	27	26	33
CGI_10027501	6	40	16	39
CGI_10020147	11	30	19	39
CGI_10023704	8	56	20	16
CGI_10013959	12	34	19	35
CGI_10015425	15	32	22	31
CGI_10012951	20	25	29	25
CGI_10007699	6	41	13	40
CGI_10015025	16	37	16	31
CGI_10006964	22	30	23	25
CGI_10025561	13	27	25	36
CGI_10007774	7	38	20	34
CGI_10021971	11	32	23	34
CGI_10021644	7	35	18	41
CGI_10003310	9	27	20	44
CGI_10028856	17	32	21	29
CGI_10014915	22	34	21	23
CGI_10017263	14	31	26	29
CGI_10027384	23	28	24	25
CGI_10018049	14	33	20	33
CGI_10008220	15	32	20	34
CGI_10023805	23	29	20	28
CGI_10003697	8	41	22	30
CGI_10022027	18	31	21	29
CGI_10008392	11	35	22	33
CGI_10005171	23	22	28	27
CGI_10007857	14	41	19	26
CGI_10003614	2	1	1	96
CGI_10013850	15	33	21	30
CGI_10020905	18	31	22	29
CGI_10028648	14	34	20	32
CGI_10019489	16	32	24	28
CGI_10022558	11	31	21	37
CGI_10001571	9	35	26	31
CGI_10004901	15	33	18	34
CGI_10026696	11	22	24	43
CGI_10006691	25	29	22	25
CGI_10020764	14	35	21	31
CGI_10019057	5	41	9	44
CGI_10022856	19	26	27	27
CGI_10018096	11	33	27	29
CGI_10014244	16	33	19	32
CGI_10016767	6	37	19	38
CGI_10013176	21	33	20	27
CGI_10019470	10	32	23	34
CGI_10006422	12	35	25	28
CGI_10005311	12	41	20	27
CGI_10015458	7	43	14	36
CGI_10014632	19	31	23	27
CGI_10022234	5	43	20	32
CGI_10021435	9	39	20	32
CGI_10006015	11	33	12	44
CGI_10023612	21	30	26	23
CGI_10027858	37	27	10	26
CGI_10014726	17	36	20	27
CGI_10009700	24	20	22	35
CGI_10007209	18	30	24	28
CGI_10016530	17	32	22	29
CGI_10024352	8	32	19	41
CGI_10002873	12	34	21	33
CGI_10003538	11	39	17	33
CGI_10010842	19	28	26	27
CGI_10024320	18	27	26	29
CGI_10004931	16	30	20	35
CGI_10008477	5	36	14	44
CGI_10008507	13	30	24	34
CGI_10010679	20	15	28	37
CGI_10026642	10	34	19	36
CGI_10003285	10	34	18	37
CGI_10008943	23	30	20	28
CGI_10027326	15	33	21	31
CGI_10024680	9	34	22	34
CGI_10027446	16	31	23	29
CGI_10021428	11	39	17	33
CGI_10018742	9	46	22	24
CGI_10013214	6	36	22	37
CGI_10022767	17	31	20	32
CGI_10016230	15	41	22	22
CGI_10019674	24	1	33	42
CGI_10023072	13	30	21	36
CGI_10008059	6	35	15	45
CGI_10025264	11	35	26	28
CGI_10023765	11	32	20	37
CGI_10013678	11	32	25	32
CGI_10006442	12	34	20	35
CGI_10014628	21	24	29	26
CGI_10015793	9	39	16	36
CGI_10026043	18	31	23	27
CGI_10010994	15	38	14	33
CGI_10007607	15	43	21	21
CGI_10014474	7	35	26	33
CGI_10013041	13	31	25	30
CGI_10010975	11	24	41	25
CGI_10009859	10	31	24	35
CGI_10009679	11	30	24	34
CGI_10007039	14	32	18	36
CGI_10008716	12	32	25	30
CGI_10026299	12	32	22	34
CGI_10001851	14	38	14	34
CGI_10000690	14	35	16	36
CGI_10008810	14	30	28	28
CGI_10009092	12	41	16	31
CGI_10013254	10	34	23	33
CGI_10017442	16	29	25	30
CGI_10003785	11	34	25	31
CGI_10025667	14	35	21	29
CGI_10011765	10	35	19	36
CGI_10000669	13	42	23	22
CGI_10016408	14	31	23	33
CGI_10022042	9	35	21	35
CGI_10010740	13	29	26	32
CGI_10025157	11	28	22	39
CGI_10016295	17	25	28	29
CGI_10024743	15	30	28	27
CGI_10023109	6	53	23	18
CGI_10005951	13	41	23	23
CGI_10025279	6	43	18	33
CGI_10015449	13	33	22	32
CGI_10004771	11	33	21	36
CGI_10007144	11	32	21	36
CGI_10007887	3	43	11	43
CGI_10008403	36	0	64	0
CGI_10023524	10	30	26	34
CGI_10008942	24	23	24	29
CGI_10017942	24	36	28	12
CGI_10026874	8	38	24	30
CGI_10014711	16	28	26	29
CGI_10011375	4	49	7	40
CGI_10021069	11	36	26	26
CGI_10003289	7	29	20	44
CGI_10014111	17	27	24	32
CGI_10006552	13	35	22	29
CGI_10008661	20	18	39	23
CGI_10024493	10	37	21	32
CGI_10000067	17	31	20	33
CGI_10019790	17	31	20	33
CGI_10006002	13	37	25	24
CGI_10017195	9	44	16	31
CGI_10025663	8	31	20	42
CGI_10008443	6	37	15	42
CGI_10022306	35	24	19	22
CGI_10025448	13	36	21	31
CGI_10007212	10	32	24	35
CGI_10014473	20	28	32	20
CGI_10027046	19	27	25	29
CGI_10018003	15	32	22	30
CGI_10019472	14	30	23	33
CGI_10003930	12	35	20	33
CGI_10016808	15	35	21	29
CGI_10010306	12	38	14	36
CGI_10003914	17	29	21	33
CGI_10017528	18	34	22	27
CGI_10008482	18	32	25	25
CGI_10008446	22	29	24	26
CGI_10026345	9	42	14	35
CGI_10025410	11	33	21	35
CGI_10011025	6	42	15	37
CGI_10015729	18	36	19	27
CGI_10021123	10	33	20	36
CGI_10013051	15	51	12	22
CGI_10013314	4	55	10	30
CGI_10018074	11	35	25	29
CGI_10021968	15	29	24	33
CGI_10003628	18	31	21	30
CGI_10022421	6	36	22	36
CGI_10001659	8	34	22	35
CGI_10024980	16	30	19	34
CGI_10017854	23	29	23	25
CGI_10017921	17	38	16	30
CGI_10018089	14	35	20	32
CGI_10011146	18	38	15	30
CGI_10011393	16	35	12	36
CGI_10018455	32	28	25	15
CGI_10005485	10	42	21	26
CGI_10001333	12	34	22	31
CGI_10003308	13	37	22	28
CGI_10026468	23	26	24	27
CGI_10005788	18	27	22	33
CGI_10022811	20	29	23	28
CGI_10024981	17	37	14	32
CGI_10027701	12	36	23	29
CGI_10024605	19	32	21	28
CGI_10009641	15	33	23	30
CGI_10011160	17	28	26	30
CGI_10025943	13	35	21	31
CGI_10022112	14	37	26	23
CGI_10021368	17	28	24	31
CGI_10025768	14	32	23	31
CGI_10016138	15	22	20	44
CGI_10001106	15	28	18	40
CGI_10017187	15	28	18	40
CGI_10016941	5	30	29	36
CGI_10027743	16	33	21	31
CGI_10000045	13	36	18	33
CGI_10019425	13	36	18	33
CGI_10003396	8	40	22	30
CGI_10009501	7	29	22	42
CGI_10018567	24	26	19	31
CGI_10015638	11	39	18	32
CGI_10000633	2	40	25	34
CGI_10015606	20	28	25	26
CGI_10010837	5	42	15	38
CGI_10017923	7	39	18	36
CGI_10022820	10	41	20	29
CGI_10007052	21	27	28	24
CGI_10007054	21	27	28	24
CGI_10008924	21	27	28	24
CGI_10014601	12	58	16	14
CGI_10023851	18	36	25	21
CGI_10011818	10	36	21	32
CGI_10024227	28	28	17	27
CGI_10014465	12	33	19	36
CGI_10023426	11	39	19	31
CGI_10023389	12	38	24	26
CGI_10006533	13	33	25	28
CGI_10018338	16	34	19	32
CGI_10007641	10	28	29	33
CGI_10020655	19	40	7	33
CGI_10006837	11	38	21	29
CGI_10017011	4	33	34	30
CGI_10018777	18	30	25	27
CGI_10014598	16	28	32	25
CGI_10025353	11	37	22	30
CGI_10015357	2	33	26	39
CGI_10018072	18	31	23	27
CGI_10006586	13	33	20	35
CGI_10017246	19	29	18	33
CGI_10020344	11	35	16	38
CGI_10010714	14	33	28	25
CGI_10002248	11	30	21	38
CGI_10023847	18	30	22	30
CGI_10023337	28	19	17	36
CGI_10022007	12	38	16	34
CGI_10015435	11	37	18	34
CGI_10000360	0	47	15	38
CGI_10007933	0	47	15	38
CGI_10000487	19	30	25	26
CGI_10027458	11	36	15	39
CGI_10003143	13	33	25	30
CGI_10028078	11	35	19	36
CGI_10003139	18	32	24	26
CGI_10010150	16	38	21	24
CGI_10012743	9	38	18	35
CGI_10014879	20	44	20	16
CGI_10012406	10	39	21	29
CGI_10021960	11	38	21	29
CGI_10018240	28	32	22	19
CGI_10024594	16	32	21	30
CGI_10022939	11	40	30	19
CGI_10009642	8	38	16	38
CGI_10016294	16	25	25	34
CGI_10000224	21	26	28	25
CGI_10001466	21	26	28	25
CGI_10012454	21	26	28	25
CGI_10022687	21	26	28	25
CGI_10006848	17	32	21	29
CGI_10018964	24	33	27	16
CGI_10026256	10	32	18	40
CGI_10026254	11	37	14	38
CGI_10015969	16	32	27	26
CGI_10010415	20	32	22	25
CGI_10000494	17	32	17	34
CGI_10023098	13	40	31	17
CGI_10024274	6	41	11	42
CGI_10018929	5	38	15	42
CGI_10015197	9	29	21	41
CGI_10009310	12	42	10	37
CGI_10015601	4	38	17	41
CGI_10010860	13	31	22	33
CGI_10022178	12	36	19	32
CGI_10023363	20	27	22	31
CGI_10000759	14	31	21	34
CGI_10006089	14	31	21	34
CGI_10015222	9	44	25	21
CGI_10019634	27	27	26	20
CGI_10021264	11	38	22	29
CGI_10027835	8	43	13	36
CGI_10008173	15	32	23	30
CGI_10006577	13	37	12	38
CGI_10007925	13	37	12	38
CGI_10008151	18	31	25	25
CGI_10004722	11	38	22	29
CGI_10012277	11	38	22	29
CGI_10016388	11	38	22	29
CGI_10018017	11	38	22	29
CGI_10027260	11	38	22	29
CGI_10027262	11	38	22	29
CGI_10008456	11	38	21	30
CGI_10005130	15	34	23	28
CGI_10015573	15	34	23	28
CGI_10028568	26	12	19	43
CGI_10022074	17	38	24	21
CGI_10010434	13	28	19	40
CGI_10016016	3	22	9	66
CGI_10024279	13	29	21	36
CGI_10017186	9	23	31	36
CGI_10009185	17	28	30	25
CGI_10018985	17	34	22	27
CGI_10028360	5	42	13	39
CGI_10012468	13	40	17	30
CGI_10018862	5	35	22	39
CGI_10025486	10	31	18	41
CGI_10005086	15	29	27	29
CGI_10025609	14	34	19	33
CGI_10026274	17	36	23	24
CGI_10005825	25	43	16	17
CGI_10020339	12	32	20	37
CGI_10025791	13	35	23	29
CGI_10013422	18	30	22	29
CGI_10015460	14	34	19	34
CGI_10022441	17	32	20	31
CGI_10008615	2	42	20	36
CGI_10015921	17	31	19	33
CGI_10011333	13	29	19	39
CGI_10001748	6	44	9	41
CGI_10007732	14	34	22	29
CGI_10003169	15	38	25	23
CGI_10015436	11	35	20	34
CGI_10011751	5	32	17	46
CGI_10027059	11	38	25	26
CGI_10003671	8	34	25	33
CGI_10019060	13	35	21	31
CGI_10003549	20	23	28	28
CGI_10020348	10	36	18	37
CGI_10024066	10	39	11	40
CGI_10019738	2	50	2	47
CGI_10006457	18	29	26	28
CGI_10012796	15	36	25	23
CGI_10022004	0	29	18	52
CGI_10019072	13	37	17	33
CGI_10013025	14	35	19	32
CGI_10010586	9	37	17	37
CGI_10021793	13	43	24	20
CGI_10018434	46	21	13	20
CGI_10008815	14	29	26	31
CGI_10013803	70	17	3	9
CGI_10013459	9	33	22	36
CGI_10023418	8	37	23	31
CGI_10019059	13	37	23	27
CGI_10009177	8	35	25	33
CGI_10009400	24	15	14	47
CGI_10028829	19	31	25	26
CGI_10025810	9	43	14	34
CGI_10020048	20	33	19	27
CGI_10007279	5	33	23	39
CGI_10025079	15	34	18	33
CGI_10010305	8	39	16	37
CGI_10020353	16	34	26	24
CGI_10003897	10	33	23	35
CGI_10021580	1	2	0	97
CGI_10000905	10	37	22	31
CGI_10022688	5	40	11	45
CGI_10005813	10	33	18	40
CGI_10021236	13	30	23	33
CGI_10022878	13	30	23	33
CGI_10028199	15	34	17	34
CGI_10019504	13	31	20	35
CGI_10023942	12	39	14	35
CGI_10010587	30	28	19	24
CGI_10017283	14	36	20	29
CGI_10026809	14	36	20	29
CGI_10027003	16	32	26	26
CGI_10002040	17	28	26	29
CGI_10004554	6	39	18	37
CGI_10015182	4	48	6	42
CGI_10005580	20	38	22	20
CGI_10005808	7	34	24	35
CGI_10017041	14	35	20	32
CGI_10012408	7	29	17	46
CGI_10018864	15	31	24	30
CGI_10019286	18	29	23	30
CGI_10019208	12	35	18	34
CGI_10008099	10	37	19	34
CGI_10019584	20	24	30	26
CGI_10013122	16	30	21	33
CGI_10003566	20	28	25	27
CGI_10010003	26	33	19	22
CGI_10013805	74	16	2	8
CGI_10019080	10	34	17	39
CGI_10012746	76	9	4	11
CGI_10022749	6	42	20	32
CGI_10014082	34	2	61	2
CGI_10009069	15	31	20	34
CGI_10005258	16	35	17	32
CGI_10020015	11	35	19	35
CGI_10005023	10	34	19	37
CGI_10014961	16	33	18	33
CGI_10020146	13	33	21	32
CGI_10005420	9	41	15	35
CGI_10011080	1	50	14	34
CGI_10015808	15	39	21	24
CGI_10013296	5	39	21	35
CGI_10018510	9	29	26	37
CGI_10012685	14	59	10	18
CGI_10023427	12	37	20	30
CGI_10028115	7	50	21	22
CGI_10006896	21	25	22	32
CGI_10000384	10	38	16	36
CGI_10011151	10	38	16	36
CGI_10017066	13	35	22	30
CGI_10021361	10	36	19	34
