Row Labels	Day 5- 23C (Silo 9)/sum*100	Day 5- 29C (Silo 8)/sum*100	Day 8- 23C (Silo 9)/sum*100	Day 8- 29C (Silo 8)/sum*100
Grand Total	15	32	22	32
CGI_10018876	15	31	22	32
CGI_10022729	16	31	22	32
CGI_10003492	16	31	22	31
CGI_10003491	16	30	22	31
CGI_10024579	16	30	22	31
CGI_10022730	16	30	22	31
CGI_10024572	16	30	22	31
CGI_10003490	16	30	22	31
CGI_10017112	15	32	22	31
CGI_10021674	15	31	22	33
CGI_10028599	15	30	22	33
CGI_10028600	15	30	22	33
CGI_10028601	15	30	22	33
CGI_10028603	15	30	22	33
CGI_10028604	15	30	22	33
CGI_10022732	18	30	23	30
CGI_10022731	16	30	21	32
CGI_10022093	14	32	22	32
CGI_10022733	18	29	23	30
CGI_10012330	8	39	17	36
CGI_10019752	8	39	17	36
CGI_10001653	16	32	20	32
CGI_10010163	8	40	17	36
CGI_10021673	18	30	24	28
CGI_10013249	16	30	23	31
CGI_10012474	12	38	21	29
CGI_10024998	10	38	18	33
CGI_10028602	16	30	22	32
CGI_10024999	10	38	18	33
CGI_10018930	10	38	19	33
CGI_10017757	20	27	23	29
CGI_10019835	7	39	17	37
CGI_10007570	11	37	19	33
CGI_10002456	10	38	19	34
CGI_10025109	13	33	20	34
CGI_10002455	11	36	20	33
CGI_10025110	14	31	21	34
CGI_10010873	14	29	21	35
CGI_10017621	13	36	21	30
CGI_10002454	12	37	20	31
CGI_10008247	11	38	17	34
CGI_10024501	13	31	25	31
CGI_10026048	14	34	24	28
CGI_10021481	12	34	19	35
CGI_10025378	10	34	17	40
CGI_10003521	13	34	22	31
CGI_10015492	8	40	15	36
CGI_10017178	17	29	28	26
CGI_10010974	10	35	20	35
CGI_10013347	12	33	22	32
CGI_10001407	17	29	28	25
CGI_10005267	10	33	16	42
CGI_10013164	15	30	20	35
CGI_10005591	14	31	25	31
CGI_10005248	37	26	20	17
CGI_10017753	20	25	21	33
CGI_10012610	12	33	20	36
CGI_10015916	13	37	17	33
CGI_10001798	12	37	17	33
CGI_10011081	9	41	17	33
CGI_10025730	9	42	14	34
CGI_10011577	19	30	27	25
CGI_10015200	19	30	27	25
CGI_10015917	11	38	17	34
CGI_10003110	13	32	21	33
CGI_10025401	13	29	25	33
CGI_10011652	13	36	18	32
CGI_10024268	12	36	21	31
CGI_10015202	13	34	22	30
CGI_10026848	8	42	22	28
CGI_10001587	16	28	22	34
CGI_10006316	16	28	22	34
CGI_10008567	14	33	17	37
CGI_10021159	15	30	25	30
CGI_10012556	13	34	22	32
CGI_10026641	12	33	20	35
CGI_10025180	18	31	22	29
CGI_10027022	30	26	28	15
CGI_10025934	10	34	24	32
CGI_10025721	13	34	18	35
CGI_10027192	14	32	25	29
CGI_10012231	11	37	20	32
CGI_10011029	10	38	18	35
CGI_10003417	7	39	17	38
CGI_10021165	14	31	26	28
CGI_10025534	17	29	27	27
CGI_10020662	19	24	34	23
CGI_10018235	14	34	20	31
CGI_10008834	13	39	16	33
CGI_10013880	10	39	17	34
CGI_10006684	16	31	25	28
