Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)
CGI_10018876	2.12271E+11	4.33454E+11	3.04729E+11	4.40127E+11
CGI_10022729	2.12395E+11	4.23051E+11	3.02203E+11	4.31278E+11
CGI_10003492	2.12073E+11	4.15154E+11	2.9957E+11	4.25238E+11
CGI_10003491	2.12058E+11	4.00746E+11	2.95888E+11	4.12455E+11
CGI_10024579	2.12058E+11	4.00746E+11	2.95888E+11	4.12455E+11
CGI_10022730	2.13628E+11	3.96361E+11	2.95412E+11	4.10356E+11
CGI_10024572	2.11736E+11	3.92849E+11	2.93255E+11	4.06415E+11
CGI_10003490	2.11077E+11	3.92538E+11	2.91902E+11	4.0561E+11
CGI_10017112	1.19394E+11	2.53682E+11	1.79378E+11	2.49626E+11
CGI_10021674	94873807401	1.92716E+11	1.36346E+11	2.06453E+11
CGI_10028599	69252503610	1.34352E+11	98358630180	1.48798E+11
CGI_10028600	69252503610	1.34352E+11	98358630180	1.48798E+11
CGI_10028601	69252503610	1.34352E+11	98358630180	1.48798E+11
CGI_10028603	69252503610	1.34352E+11	98358630180	1.48798E+11
CGI_10028604	69252503610	1.34352E+11	98358630180	1.48798E+11
CGI_10022732	74993593797	1.26823E+11	99525347713	1.26187E+11
CGI_10022731	68662195340	1.29899E+11	91542612354	1.36461E+11
CGI_10022093	59782570100	1.35084E+11	93906068601	1.35667E+11
CGI_10022733	71791839659	1.13917E+11	91577396854	1.19731E+11
CGI_10012330	21213869688	1.09537E+11	46899929437	99810529478
CGI_10019752	21213869688	1.09537E+11	46899929437	99810529478
CGI_10001653	38401711518	76814294679	48614541460	76698767734
CGI_10010163	17929389371	93094280515	40724190228	83891073124
CGI_10021673	41559740727	69585977998	54177719409	64183950160
CGI_10013249	36681260258	68277969734	52337802123	71887119794
CGI_10012474	26888918944	83367502186	47673143015	64219540051
CGI_10024998	21774839555	83756772710	39891842103	72549651643
CGI_10028602	34420900223	65583727216	48422371734	69506092493
CGI_10024999	21061683317	81733192102	39036192006	71323653138
CGI_10018930	21183395584	77572096460	38720249386	67349621781
CGI_10017757	40482776379	55703707441	47498040374	59528251250
CGI_10019835	14657459790	77197075701	33447465955	72744401446
CGI_10007570	19022390542	67212831525	34307761764	59282363152
CGI_10002456	17547029433	67688560141	33521735728	60153614381
CGI_10025109	23564434657	57374345235	35796656531	58845048914
CGI_10002455	18380938531	60196530690	33071052294	54173500217
CGI_10025110	19964438071	45257583608	31425669370	50085318230
CGI_10010873	18910484062	40023402401	28978325512	48122337867
CGI_10017621	17052323419	45144695834	26004326514	38345113170
CGI_10002454	14765809884	45625401301	25424860289	38765367661
CGI_10008247	13361508498	47243720009	21555817254	41664199086
CGI_10024501	15727721949	36797831581	29249733704	37384998205
CGI_10026048	16265432914	39908052430	28189550973	33406480679
CGI_10021481	14298484234	38779598798	21494726599	40357523842
CGI_10025378	10429342862	36346406419	17910324802	43757948234
CGI_10003521	13808172303	37071434009	23795971296	33486005873
CGI_10015492	8634347433	41379597689	15704623658	36826053915
CGI_10017178	17520994393	29593766913	28744799906	26141225312
CGI_10010974	10171122142	33982737087	19896956095	34165004335
CGI_10013347	11739760930	31689669112	21142757623	30889138600
CGI_10001407	16079555316	27662750624	26803128806	24137996195
CGI_10005267	8842935212	30358746101	14817149106	38415374743
CGI_10013164	12968383018	25140435330	16592052463	28990218793
CGI_10005591	11504926615	25502669258	20738569930	25761862552
CGI_10005248	28292626124	20078083170	15790862132	13184095413
CGI_10017753	15073258369	18698967548	15631259358	24507392680
CGI_10012610	8443771862	23554720626	14590892789	25855185453
CGI_10015916	9028875590	26925472738	12496071372	23500099794
CGI_10001798	8446085140	25117711332	11839000412	22265409546
CGI_10011081	5537594461	25560619916	10624386010	20941273319
CGI_10025730	5501243518	25320358327	8497781898	20559716227
CGI_10011577	10919265018	17536599781	15671646883	14507642218
CGI_10015200	10919265018	17536599781	15671646883	14507642218
CGI_10015917	6195355189	21491585281	9868207533	19361993764
CGI_10003110	7251343680	17533502744	11385598122	18169446733
CGI_10025401	7084880128	15212388249	13361447825	17616585116
CGI_10011652	6931918878	19080154799	9562560885	16878195973
CGI_10024268	6308638139	18497845608	10859218094	15897405011
CGI_10015202	6758774476	17227555580	11291688156	15470598131
CGI_10026848	4207488087	21335340617	11077500875	14036894713
CGI_10001587	7943181480	14157451410	10835297430	17255267768
CGI_10006316	7943181480	14157451410	10835297430	17255267768
CGI_10008567	6838444398	16142637107	8435731796	18165784104
CGI_10021159	7633881824	14915393322	12191728923	14820295317
CGI_10012556	6287754474	16442425202	10478842481	15392008470
CGI_10026641	5394215671	14801425754	9233279466	15622927638
CGI_10025180	7613675647	13214853779	9437503418	12586455837
CGI_10027022	12481875014	10831527357	11391506616	6290407634
CGI_10025934	4156086461	13680589308	9587171820	12717533372
CGI_10025721	4999812914	13399009206	7179050747	13758697536
CGI_10027192	5449654907	12088247610	9492829079	11135338140
CGI_10012231	4133910240	14229261227	7712582815	12024343000
CGI_10011029	3929517507	14276228412	6697181800	13144331058
CGI_10003417	2612518202	14694187908	6292424042	14293448950
CGI_10021165	5370074512	11732246066	9767464757	10624321282
CGI_10025534	6391973013	10995970002	9969993996	10060400477
CGI_10020662	6973047679	9054760387	12607341600	8626962104
CGI_10018235	4797619694	11891107334	7051866010	10771933475
CGI_10008834	4310838916	13358686970	5339928452	11180770779
CGI_10013880	3264211722	12792208196	5648533487	11107209204
CGI_10006684	4774826064	9510795766	7622250208	8700674372
CGI_10008717	3768379329	9445127259	6517037768	9776615101
CGI_10006016	3234333472	10186938342	5036748374	10088581660
CGI_10013293	3690513124	9033228538	5696316301	9637288018
CGI_10028368	3171549420	9329120848	5318733262	10173631765
CGI_10022332	4095473031	9809114354	5203726942	8533951509
CGI_10022396	4590250402	8961486979	6022347390	7822719345
CGI_10014966	2283149337	10061843185	5642909012	9396381895
CGI_10004762	4808545835	7723309616	6992723514	7677568155
CGI_10020922	3833958829	7832610882	7351291462	7890046449
CGI_10022154	2348014917	9523349292	5165579812	9845280025
CGI_10028694	4252364405	8548084566	5926484933	7914676701
CGI_10014916	3197692931	9405117701	5854395423	7893673105
CGI_10008722	2922849502	9252165856	4675849796	9178477206
CGI_10027300	2922849502	9252165856	4675849796	9178477206
CGI_10002689	6099297975	6966753237	4983882216	7795352267
CGI_10009876	3819325580	7583568489	6641877021	7642803987
CGI_10027502	3557149203	8479463042	4177145111	9394966893
CGI_10024887	3148076374	8045721671	5879115990	8422764364
CGI_10020447	3326065308	7658745025	5598897116	8193980333
CGI_10000194	3721806180	7585630403	6189568827	7060130894
CGI_10001245	4659411691	7438693886	4900180845	7439255519
CGI_10015152	3143171539	7614779284	5749224735	7551270377
CGI_10023717	3622167147	8035797211	5888770796	6270275023
CGI_10019423	4689912964	7066628096	5947065249	5924501648
CGI_10006610	1859785967	10443145485	3259160434	7899787495
CGI_10024309	2877068356	7924283779	4918436977	7219253275
CGI_10010682	2201243891	7919928172	6044899654	6512867735
CGI_10010529	2302221461	8475559255	5100351571	6766911778
CGI_10023610	1114809052	8597006476	3717061913	9175750040
CGI_10022058	2295163481	8419566571	3798286521	7951225250
CGI_10002375	4427877207	6849195076	5948971466	5129343784
CGI_10028148	3275425500	6935199266	5227440927	6607390823
CGI_10007702	3293396056	6568453814	5449613106	6527077539
CGI_10012555	1494918006	8058707095	4421930494	7678045322
CGI_10006807	4686909124	6650447400	4493944694	5071873467
CGI_10018743	1868337052	8268188065	4795505172	5479603498
CGI_10015004	1223108091	7586431253	3366769016	8216682912
