Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)
CGI_10028202	1789183637	6928077290	4810149568	6782595814
CGI_10016722	2525362260	6190056947	6626025137	4777678923
CGI_10018568	2875069662	6610491666	4440373546	6088810871
CGI_10014226	1907915373	6706221481	4727825887	6201766932
CGI_10016721	2378368605	6078583475	6418093435	4601755148
CGI_10000602	3602907873	6109478353	4106222478	5650513341
CGI_10024772	2243561204	7171876461	4829480131	5085679629
CGI_10021712	3589069487	5750919836	5028255189	4803065391
CGI_10016162	1513410797	7817129754	3132338882	6559289196
CGI_10016140	3148621238	5484999149	4159547275	6119110282
CGI_10023084	2492116488	6409173387	3915716997	6087779598
CGI_10027917	3388820284	5823729518	4166037387	5475555064
CGI_10026913	3092860007	8204443994	3320257168	4052772716
CGI_10018053	1740870948	6549096431	3287263750	6894882183
CGI_10004092	39278673	3086475580	1993348768	13316379624
CGI_10018833	39278673	3086475580	1993348768	13316379624
CGI_10013084	3603622832	6019092522	4272613652	4323041720
CGI_10019448	2299067120	5365929590	3628309741	6915876122
CGI_10015322	38667288	8500445423	2227584900	7391577064
CGI_10025379	2854697931	6100348178	3726232425	5453312140
CGI_10007104	2484180972	6044689054	4238929695	5288867287
CGI_10017454	2349678823	5598884141	3949149790	6017587672
CGI_10028469	2426756354	5757181940	3851562702	5666670214
CGI_10015666	2465759124	6298422516	2618384512	6172028728
CGI_10000595	1846071734	5578956633	4509999775	5571340672
CGI_10009164	1846071734	5578956633	4509999775	5571340672
CGI_10021647	2184192414	5773839506	4017624230	5211411277
CGI_10009847	1415520498	6797402640	2482826953	6417151971
CGI_10026535	2101798518	5713137289	4347514556	4823257304
CGI_10020975	3314793071	5414350752	4232438763	3948735885
CGI_10026681	2890285728	6444585948	2951773212	4613871726
CGI_10013163	3294067227	5411408318	4551764439	3399523060
CGI_10006022	3596814265	4989377166	3459950380	4501956598
CGI_10002594	1721779663	6188360434	2802851066	5796289255
CGI_10010646	1721779663	6188360434	2802851066	5796289255
CGI_10010647	1721779663	6188360434	2802851066	5796289255
CGI_10019801	1746564635	5744791440	3250449835	5329525404
CGI_10013845	2338707320	4823367846	3775345656	5080136774
CGI_10027157	2401218065	5151430788	3602420829	4779204382
CGI_10017823	1848096032	6072942197	2883964659	5084200404
CGI_10017958	2783779821	4961022443	3350221959	4355960401
CGI_10004346	2657332113	4735793264	3794239390	4249235534
CGI_10025556	1752219567	5716910778	2934588726	5031516019
CGI_10019050	1698358717	4993991954	3199498654	5363000019
CGI_10017309	1863004909	5214806583	3060285436	5056644771
CGI_10006000	1974678957	5028938899	4082363112	3973912433
CGI_10003553	1526447697	5451478325	1941323338	6129624928
CGI_10012348	1481809859	2733101285	5808985287	4767870697
CGI_10008390	1250669037	5215593049	2592403473	5701237929
CGI_10008101	2197875476	4870492465	3396619246	4218060858
CGI_10006482	3493553995	3578031031	3409492451	3968295620
CGI_10026186	1969060531	4656593672	3018385053	4800686205
CGI_10007812	1268562406	5454131899	2092465986	5480281475
CGI_10015642	1817091125	4405792396	2960505933	5098839638
CGI_10011125	1400026254	5452253386	2474315140	4951218786
CGI_10008531	2115410423	4736876475	2923867528	4470789521
CGI_10021397	1165943555	5013466661	2928764236	5126496371
CGI_10017227	1886441972	4973938304	2535342214	4749895303
CGI_10008455	1958934117	4867155819	2584628697	4725703132
CGI_10008056	1779949556	2764980766	2989027660	6522988448
CGI_10008061	1779949556	2764980766	2989027660	6522988448
CGI_10008067	1779949556	2764980766	2989027660	6522988448
CGI_10008072	1779949556	2764980766	2989027660	6522988448
CGI_10008077	1779949556	2764980766	2989027660	6522988448
CGI_10008082	1779949556	2764980766	2989027660	6522988448
CGI_10008087	1779949556	2764980766	2989027660	6522988448
CGI_10023458	1605911298	4828293428	2643211309	4863058921
CGI_10028508	1034818691	4603836907	3220826916	5076768147
CGI_10019706	1264582563	5910302633	3069870784	3666838049
CGI_10006413	1855863941	4745386963	3213392978	3831234466
CGI_10022551	1156850400	4771538392	2434554575	5229037848
CGI_10007347	2028387727	4373613232	2914409422	4197811339
CGI_10014767	2631740244	3863403609	3667042417	3218914131
CGI_10022483	2091921180	4023518850	2834114793	4418348164
CGI_10012729	2238661054	3896812163	3770540972	3315806290
CGI_10007551	1285447993	4793988309	1737484456	5323996532
CGI_10010622	2166375234	4251977848	3044975700	3587418852
CGI_10020105	1471209049	4658867872	2825017891	4044711365
CGI_10008057	970931675	4773634402	1937142177	5262550367
CGI_10008062	970931675	4773634402	1937142177	5262550367
CGI_10008068	970931675	4773634402	1937142177	5262550367
CGI_10008073	970931675	4773634402	1937142177	5262550367
CGI_10008078	970931675	4773634402	1937142177	5262550367
CGI_10008083	970931675	4773634402	1937142177	5262550367
CGI_10026148	39250707	2041658948	1732633298	9117127519
CGI_10007757	1662149957	4914468178	2932438537	3359781417
CGI_10023335	1788926449	4335866942	2780279379	3859588912
CGI_10005185	1392565447	4214195593	2254411938	4883853649
CGI_10004652	2621767054	3310747018	2840450657	3948346450
CGI_10009395	1899016256	4105560954	3165191766	3519499037
CGI_10011640	2142877591	3794753834	3257288386	3423648846
CGI_10027210	11538180839	403998949	216539339	430185745
CGI_10019253	1577567632	3560692221	1888036084	5430952298
CGI_10024475	2088865416	4288161938	2711307043	3337046671
CGI_10003462	1498259249	4123001644	2316566930	4480708998
CGI_10012671	742065584	4087773450	2286299089	5265252417
CGI_10020961	1469703751	3629815669	3472195727	3733951241
CGI_10021482	1933774583	3657012094	2362549339	4247553144
CGI_10025809	1078617384	4321542312	2103418534	4633085449
CGI_10021483	1927516939	3632568849	2362527996	4191018767
CGI_10011187	2150543196	3871429084	2871466419	3201458836
CGI_10028701	1383662306	4098788533	2373209675	4228553686
CGI_10021852	1755705409	4023346603	2513775935	3768199392
CGI_10007057	1458584462	4306418954	2731533461	3537355841
CGI_10004855	691672858	4554567854	1623730514	5153637136
CGI_10019707	1123958115	5211071885	2578111710	3074626482
CGI_10018683	1281333442	4010046945	2634846427	3801637364
CGI_10004563	1399734660	3788926752	2978566474	3471943591
CGI_10006272	1597180147	3637147218	2049707462	4284924810
CGI_10016720	2361176683	3685609091	2778232286	2741536695
CGI_10019696	2513757903	3288991716	2847727293	2838338063
CGI_10012808	1807492710	4185497284	2745455317	2713850263
CGI_10003765	2197076185	3578834292	2380812792	3173427042
CGI_10014332	2198693862	3242879724	3855073015	1999029726
CGI_10012611	1080752418	2735646658	2559555542	4912687284
CGI_10025445	2196757532	3096055402	3231311595	2731278621
CGI_10027347	1807937475	3351130070	2439753338	3627065967
CGI_10021398	1313456008	3496644719	2649972335	3666000517
CGI_10008877	1448507309	3685203163	2215016032	3766637102
CGI_10023439	1323520589	3234018858	2620587870	3801741541
CGI_10024554	1106581008	3916992345	2935752715	2990244972
CGI_10025126	1346169180	3648012765	2386457341	3557153032
CGI_10003539	1440538453	3752922368	2063838089	3652292354
CGI_10014752	1301046124	3448045560	2326120989	3801505919
CGI_10005226	1062791568	4102506012	2462128287	3193213784
CGI_10009537	1795568025	3175456576	2253899699	3535481431
CGI_10027566	1342449131	3637936025	2475972102	3278436282
CGI_10019543	1246717269	3759194504	2751119495	2972907575
CGI_10025594	1932080051	3111264532	2296475083	3370717767
CGI_10020381	1185849954	3620403255	2008033119	3840535079
CGI_10003564	2089470142	3463381810	2516635846	2578573683
CGI_10020153	649274706	4483835071	1536628228	3956789111
CGI_10009326	468721146	4655435273	2003962515	3479898034
CGI_10008055	1182147649	2709630381	1799204745	4700811806
CGI_10016741	997483209	4263562741	2578179257	2535685774
CGI_10013062	876834608	3917966700	1905122741	3670542444
CGI_10019631	1561327601	3206427833	2452955322	3064216427
CGI_10003372	1656323689	3498879528	2860316532	2247344612
CGI_10005346	1158519713	3568401636	2099105567	3326188076
CGI_10009991	2223543024	2509260380	2860194798	2552867893
CGI_10008688	1399381657	3281550477	1817452848	3587160576
CGI_10020867	2014653669	2898799800	2960107582	2205115808
CGI_10023440	1412795778	3335383067	2320884172	3001707695
CGI_10021874	1092816067	3630428380	2401602511	2923339303
CGI_10012472	1010645655	3404094659	1595112337	3995387458
CGI_10023407	1653277788	3016133463	2222490772	3096190739
CGI_10016257	1205471463	3672610858	2104798591	2876598626
CGI_10024289	1292814054	3507672719	1976055860	3059038479
CGI_10026639	1038680984	3181181856	1957415529	3646799374
CGI_10001665	1569628439	4989761380	604983622	2625674986
CGI_10005425	836197176	2886111527	2036548631	3979653873
CGI_10015523	1440082388	2865199580	2219615420	3207524112
CGI_10000231	530032636	3637458357	1243239132	4156113014
CGI_10025935	908139794	3640624370	1931605263	3023020341
CGI_10001663	1010548788	3116460688	2525924336	2832786481
CGI_10023627	1389070711	3269322568	1722110393	3094150288
CGI_10018499	1233654195	3845790147	1871028103	2503932835
CGI_10020449	898024582	3621143652	2103638729	2825884656
CGI_10022522	850878989	3507824251	1774067610	3304019660
CGI_10023024	907840155	3212494397	2064282744	3201346858
CGI_10021672	1810081129	3140552112	2405334975	1996051707
CGI_10012871	1318393270	2673913504	2259964945	3052420859
CGI_10003170	723489619	3825230947	1120204729	3510720898
CGI_10017163	1197807020	3720898614	1709095816	2531827032
CGI_10025806	673349920	2999951121	1608193828	3834025805
CGI_10003355	732703697	3403984658	1618659658	3326824454
CGI_10025192	1946532868	2524775939	2459788213	2143262734
CGI_10012919	367746430	3541492762	1484395641	3670546174
CGI_10021773	367746430	3541492762	1484395641	3670546174
CGI_10017767	745235983	3538938693	2155768194	2598488575
CGI_10000096	966570333	3418621435	1689143285	2960059310
CGI_10021848	966570333	3418621435	1689143285	2960059310
CGI_10019175	1455687903	2991903235	1832918000	2749258820
CGI_10016366	1003501841	3012793766	1759470602	3242288123
CGI_10020746	1046435030	2991756308	2027451528	2928550965
CGI_10014243	1490084534	3063248235	1728110890	2710967020
CGI_10011511	1256922331	2867682843	1889384697	2851339100
CGI_10020579	758274293	3287865700	1310365620	3481434049
CGI_10001357	1610815082	2006579483	2296055242	2832156963
CGI_10014314	1164219270	2721284763	1763919421	3041869769
CGI_10007733	1175524255	2734032480	2003915368	2668653503
CGI_10013567	1059734981	2838295536	2155850137	2379967452
CGI_10003354	1000684809	3296213246	1733023430	2401574276
CGI_10007455	5589	4554145910	43110	3856952378
CGI_10012353	773629744	3105313292	2070546998	2390216732
CGI_10026412	1707101070	2637461857	1934639084	2044124687
CGI_10009059	776106239	2287541148	1755037328	3460730173
CGI_10027742	776106239	2287541148	1755037328	3460730173
CGI_10021188	1045678538	2733939039	1841943964	2642565346
CGI_10026265	1127254305	2506990185	1523553646	3075916825
CGI_10000075	851131472	2960501195	1385155950	3027714140
CGI_10020305	851131472	2960501195	1385155950	3027714140
CGI_10008664	593391744	2927595585	1588602967	3101290918
CGI_10028384	581667691	5244548200	2141982787	207661561
CGI_10001648	1405322770	2354723715	2100120546	2271117149
CGI_10003329	1405322770	2354723715	2100120546	2271117149
CGI_10009719	984898793	2522617919	1773217586	2825002641
CGI_10014553	1353247861	2645459740	1432042711	2667742116
CGI_10017461	650750003	3018057155	1302089566	3118001268
CGI_10013946	931137822	2434512032	1894692937	2799810066
CGI_10019942	922834057	2682906926	1887674627	2533211669
CGI_10002226	1054518012	2471862115	2229670388	2244217904
CGI_10023649	1054518012	2471862115	2229670388	2244217904
CGI_10003195	809578336	1958871914	1519481465	3584450517
CGI_10018918	1230102170	2347003653	1903751409	2377279175
CGI_10008607	781617097	2918226420	1733876766	2415462108
CGI_10007751	963142796	2484834317	2088217134	2268973593
CGI_10012574	1032142341	2026755338	1665658649	3056496498
CGI_10017255	975268933	2675765931	1465238586	2660266516
CGI_10005381	1042010904	2772913511	1404035015	2494494631
CGI_10007643	954695419	2409829336	2294591589	2025340981
CGI_10001640	381130326	2973439886	1466249964	2832364800
CGI_10027254	752834631	2102220997	2335041390	2459946134
CGI_10004058	924565756	2570774840	1839921010	2312256069
CGI_10014092	1240865903	2337427525	1906583410	2063976552
CGI_10010021	803722432	2533974862	1730354866	2447970610
CGI_10001493	980504068	2715042057	1933502630	1878016983
CGI_10007931	980504068	2715042057	1933502630	1878016983
CGI_10009812	648298390	3049354044	1441986949	2340313911
CGI_10026047	462930805	2676582581	1585800046	2724880154
CGI_10005784	380192550	2786543872	1227338182	3054767153
CGI_10007050	1118962708	2493746122	1768210718	2039256004
CGI_10018336	1470828554	1833761942	2344600407	1761545512
CGI_10002311	1111041103	2296619896	1511349287	2458199488
CGI_10023767	1922975720	2039507393	1602255417	1800987417
CGI_10007483	1152093932	2522164513	1528738820	2144954148
CGI_10027449	813438095	2438304235	1275259037	2805566397
CGI_10023347	1324653436	2273190508	1570897034	2077645821
CGI_10018261	1284784120	2251971216	1669521528	2028985915
CGI_10022016	1053829714	2270027644	1804925695	2103704096
CGI_10013291	286814472	2805521151	1085339420	3042796321
CGI_10028471	949843501	2482128716	1779352160	1987572869
CGI_10001554	826335954	2561394358	2022813538	1787853465
CGI_10019491	902548932	2246449750	1578518294	2418068859
CGI_10007870	825595605	2113878622	1797969194	2400430506
CGI_10018067	1148497906	2417097349	1245070345	2282449212
CGI_10026056	1361166222	2067320411	1895891514	1735529721
CGI_10026385	902131822	2359644805	1633787377	2129572943
CGI_10015426	893263525	2464030694	1326914869	2327779567
CGI_10017582	962964843	2297060264	1212687103	2503695689
CGI_10019530	906140725	2219319448	1332090001	2516968169
CGI_10010841	1106801353	2122174338	1769339552	1973238883
CGI_10023099	253550602	2699676513	1550921637	2444741371
CGI_10005552	1438431211	2226900523	1373550788	1880500136
CGI_10017668	1151812700	2473254652	1534395057	1710745577
CGI_10012452	1139979991	2100178877	1700245264	1929419078
CGI_10022015	523842619	2864898055	927253452	2537677679
CGI_10017403	960106609	1895837609	1661052882	2332887113
CGI_10019654	558835561	2248459443	1412295763	2629014008
CGI_10015576	1710147284	3007180833	633100330	1486193245
CGI_10028032	1542135511	2121077435	1448215679	1709649388
CGI_10026867	783077014	2390879959	1300823908	2326930431
CGI_10004478	654410929	3518502129	861324458	1765404140
CGI_10017251	944427812	1958175607	1438515739	2451458963
CGI_10006939	1507318960	1784940239	1541207808	1953062967
CGI_10026346	381158781	2844954811	1586047284	1951789098
CGI_10017557	1026072229	2328328395	1370821266	2029020881
CGI_10002919	645846234	2778697030	1764789616	1504104496
CGI_10017292	645846234	2778697030	1764789616	1504104496
CGI_10012156	1793115201	1763041006	1360495519	1769467054
CGI_10005339	1050065342	2189736574	1198759479	2193573440
CGI_10018844	2459854846	1896656699	1179660829	1092818659
CGI_10018845	2459854846	1896656699	1179660829	1092818659
CGI_10008332	592748313	2831692938	927741867	2267509009
CGI_10020238	556471918	2422296148	1130461929	2487920054
CGI_10014151	814565333	1846347558	2133042508	1792447636
CGI_10022305	972399130	2158403650	1280958130	2156209791
CGI_10017030	217752270	3098846757	917105176	2302138143
CGI_10019522	1327001901	2157935911	1397412629	1651039977
CGI_10011113	1244460553	1928352733	1592688089	1743903261
CGI_10026058	1156436752	2045090155	1617536697	1686045412
CGI_10028871	871953623	1855993383	1284853416	2437292030
CGI_10004590	548072093	2198258975	1033136613	2664311512
CGI_10027129	538143614	2682806249	842727891	2357008310
CGI_10022163	951639413	1952646523	1507352619	1975172415
CGI_10012352	501456017	2737016872	1053980058	2091296099
CGI_10010480	1179715508	2056098643	1448126088	1680830392
CGI_10004564	885830126	2309835577	1370207885	1763808452
CGI_10001705	666859510	2103047489	1691242133	1864657941
CGI_10015155	859366222	1947493131	1485328026	2012398477
CGI_10020432	805912626	1905012567	1446424306	2140557182
CGI_10026515	1098218728	1808222880	1621664009	1765650816
CGI_10024065	419251448	2112457310	1680778551	2052991641
CGI_10007986	491530607	2550411168	1169632989	2050054397
CGI_10023479	770073168	1924937767	1751169066	1792069386
CGI_10004179	1070385712	1955832243	1215239728	1963681975
CGI_10023716	1213805689	1867712345	1113768083	2002694923
CGI_10011031	653110356	2252294515	1054834089	2190782206
CGI_10015239	440358741	1963449260	1139843985	2606172999
CGI_10024801	878815097	1655698561	1706540935	1905218038
CGI_10018991	954104346	1875692301	1581416564	1718624007
CGI_10025016	638703675	2149724207	1464872191	1876250244
CGI_10016965	763399580	2062611443	1685857512	1610644505
CGI_10027448	999016370	2051557998	1047513214	2017137879
CGI_10019936	721988065	981390785	1574182386	2836563866
CGI_10028528	198393205	2553963309	1062113404	2253149730
CGI_10020409	874161479	1605393830	1662040975	1886929387
CGI_10024545	512663195	2094637888	1093378977	2309530763
CGI_10016812	808444319	2074666574	1460837704	1627791954
CGI_10012339	711813177	2286095283	974812935	1979385914
CGI_10011934	728165516	2257805728	1241364968	1722754905
CGI_10010028	555629670	2110278702	822677518	2433576594
CGI_10007134	750453054	2013974874	1267031484	1876185680
CGI_10021957	942781730	1824844748	1573400908	1562605337
CGI_10021754	844279872	1569001808	1126820731	2325448747
CGI_10009651	957845287	1972264187	1394479051	1540834022
CGI_10020973	347855857	1985334806	1108402173	2407460167
CGI_10021563	339089083	2596088410	1028631698	1871182336
CGI_10000078	678272733	2165403075	1050269388	1934650023
CGI_10015118	447562968	1990458964	1389951533	1970700450
CGI_10027722	806047132	1896416427	849216264	2239189383
CGI_10003981	694680943	917104461	1476642171	2695682335
CGI_10014208	658523366	1921047364	1155072912	2004758435
CGI_10024342	541404765	2111111400	1107496034	1972468882
CGI_10011964	830038898	1621362137	1298922609	1919896172
CGI_10028775	682814441	1934455177	1159564521	1887529923
CGI_10008493	963428576	2148195316	983924404	1537957242
CGI_10022642	503851125	2383255235	709657770	2035790018
CGI_10026868	519646467	1902031016	1248542652	1927326569
CGI_10024132	1079466838	1558100634	1387734887	1571520019
CGI_10003886	934968007	1742073972	1127156559	1784763964
CGI_10002160	490828588	2255457080	1071827570	1767362875
CGI_10013115	547763641	1601788163	1551533208	1862052910
CGI_10018366	580307458	2117853210	892026657	1958043704
CGI_10008850	584409943	2071569557	548508020	2340646048
CGI_10024931	639302781	1700853209	1274507551	1909901919
CGI_10010066	865678186	1863421656	1237887243	1523736137
CGI_10009093	411568386	2257590574	843414369	1969968246
CGI_10012828	728161487	2010974056	1179657977	1559079449
CGI_10004395	969126140	1664734980	1310233859	1524113101
CGI_10013578	1245963019	1592259938	1591360743	1022971277
CGI_10022032	530618384	1721895888	1261083956	1922265367
CGI_10015594	1005885894	1687424469	1287425157	1445794342
CGI_10010936	758622240	1457606816	1424594544	1777647799
CGI_10027501	312458205	2157401469	857678314	2083245267
CGI_10020147	614187933	1610354676	1050402212	2129360547
CGI_10023704	423903268	3028714389	1084561403	857524614
CGI_10013959	652759424	1805496290	1008364222	1906559133
CGI_10015425	830075815	1718341351	1175307311	1637593759
CGI_10012951	1073654432	1347452468	1557165912	1341109303
CGI_10007699	333426392	2158199060	702111253	2122482777
CGI_10015025	854828776	1942833130	868038628	1632654859
CGI_10006964	1134893660	1605305299	1232427299	1296140676
CGI_10025561	674710723	1419308068	1300803777	1868758199
CGI_10007774	391116450	1994804334	1065773400	1806892179
CGI_10021971	592395320	1676675478	1193149681	1795166912
CGI_10021644	342913293	1848298153	921524675	2142684046
CGI_10003310	486072555	1433673651	1030508355	2291957178
CGI_10028856	901092555	1665046910	1124117287	1543299961
CGI_10014915	1160271786	1773430532	1095808370	1192941073
CGI_10017263	751346663	1629530729	1336374228	1504899710
CGI_10027384	1209908318	1461034864	1226525623	1310603115
CGI_10018049	744138308	1714451625	1019397795	1721057853
CGI_10008220	756431598	1650881399	1016824511	1764837791
CGI_10023805	1176926224	1511335326	1055873730	1430398156
CGI_10003697	399719338	2103288752	1115237974	1549074558
CGI_10022027	917845993	1606237503	1101703211	1514633285
CGI_10008392	545784021	1772560172	1142387385	1674916732
CGI_10005171	1191668784	1141673588	1419628788	1375049700
CGI_10007857	722023203	2068341658	962348376	1352796429
CGI_10003614	121741052	27126460	32283647	4905200117
CGI_10013850	751940029	1692600618	1089043802	1549554374
CGI_10020905	889798127	1555707177	1135607505	1483371759
CGI_10028648	702765374	1713232085	1005778252	1628894567
CGI_10019489	817075380	1592400507	1211344700	1424349986
CGI_10022558	563405844	1551491579	1050630124	1860486307
CGI_10001571	436075619	1748688623	1278783728	1535970560
