CHOYP_BRAFLDRAFT_228853.1.1|m.9833
CHOYP_ME3.1.1|m.58433
CHOYP_ARP3.1.1|m.6867
CHOYP_LOC101072646.1.1|m.8800
CHOYP_LOC661043.1.1|m.11553
CHOYP_MDHM.1.1|m.43603
CHOYP_C1TC.1.1|m.28294
CHOYP_SMP_078690.5.5|m.64878
CHOYP_BRAFLDRAFT_123741.1.1|m.31088
CHOYP_PPUTW619_2764.1.1|m.44946
CHOYP_LOC101171340.1.1|m.29474
CHOYP_LOC587133.1.1|m.61281
CHOYP_MTR_027S0011.1.1|m.29241
CHOYP_CYIIB.2.2|m.64544
CHOYP_DWIL_GK25045.1.2|m.9225
CHOYP_LOC656867.1.1|m.28658
CHOYP_BRAFLDRAFT_102424.4.6|m.51652
CHOYP_NRP.4.4|m.44647
CHOYP_BRAFLDRAFT_266781.1.2|m.24880
CHOYP_TBA3.1.1|m.5111
CHOYP_COPD.1.1|m.37389
CHOYP_HYOU1.2.3|m.12568
CHOYP_LOC100371249.1.1|m.63117
CHOYP_TBB2.1.2|m.45096
CHOYP_LMNB2.1.1|m.55999
CHOYP_BRAFLDRAFT_66627.1.1|m.40620
CHOYP_DLAT.1.1|m.64812
CHOYP_LOC658895.1.1|m.20262
CHOYP_BRAFLDRAFT_91441.1.1|m.47971
CHOYP_ISCW_ISCW003477.1.1|m.37800
CHOYP_THOP1.1.1|m.18269
CHOYP_ACAA2.1.1|m.30666
CHOYP_LOC100699093.1.1|m.20134
CHOYP_UGGG1.1.1|m.59266
CHOYP_SF3B3.1.1|m.45473
CHOYP_LOC594665.1.1|m.8449
CHOYP_LOC584281.1.1|m.34958
CHOYP_LOC100636340.1.4|m.5143
CHOYP_TVAG_355490.15.22|m.47579
CHOYP_BRAFLDRAFT_203026.1.1|m.61263
CHOYP_DGRI_GH15313.1.1|m.5763
CHOYP_K6PF.1.1|m.46882
CHOYP_PHUM_PHUM477850.1.1|m.19067
CHOYP_NEMVEDRAFT_V1G230495.1.1|m.61211
CHOYP_GPDA.2.2|m.30755
CHOYP_BRAFLDRAFT_125234.2.2|m.19033
CHOYP_FLNA.2.6|m.11845
CHOYP_BRAFLDRAFT_118602.2.5|m.17419
CHOYP_BRAFLDRAFT_125327.1.1|m.29699
CHOYP_SYTC.1.1|m.35709
CHOYP_LOC100164899.1.1|m.59665
CHOYP_LOC100175959.4.7|m.28172
