PROTID	sample 27
CHOYP_BRAFLDRAFT_80496.6.10|m.29014	70
CHOYP_ADD.3.5|m.17639	70
CHOYP_FLNA.1.6|m.11089	70
CHOYP_CD109.1.2|m.7033	69
CHOYP_ALF.2.3|m.40474	69
CHOYP_LOC100492576.1.1|m.7775	69
CHOYP_LRP5.1.3|m.18025	68
CHOYP_KPYM.1.1|m.33498	68
CHOYP_LOC100372131.1.2|m.36461	67
CHOYP_SMP_012720.2.2|m.34968	67
CHOYP_ALDH2.3.3|m.25044	67
CHOYP_WDR1.1.1|m.29076	66
CHOYP_PHUM_PHUM226120.2.7|m.2274	66
CHOYP_TCPB.1.1|m.6398	66
CHOYP_TBA2.1.1|m.955	65
CHOYP_EMAL1.1.1|m.58030	65
CHOYP_LOC100186361.3.3|m.66600	65
CHOYP_TCPQ.1.1|m.57792	65
CHOYP_LOC100376272.3.4|m.30522	65
CHOYP_U520.1.1|m.7087	64
CHOYP_QCR2.1.1|m.35613	64
K2C1_HUMAN	64
CHOYP_MLE.1.9|m.15462	63
CHOYP_RLA0.3.7|m.42196	63
CHOYP_LOC588883.3.3|m.38321	63
CHOYP_LOC100369378.1.1|m.5391	62
CHOYP_VATA.1.1|m.44460	62
CHOYP_BRAFLDRAFT_122807.1.1|m.3729	62
CHOYP_LOC100699383.1.1|m.63490	62
CHOYP_LOC100121788.1.1|m.28436	62
CHOYP_LOC660560.1.4|m.31036	61
CHOYP_EF2.5.5|m.39855	61
CHOYP_SYAC.2.2|m.18500	61
CHOYP_DHE4.1.1|m.48536	61
CHOYP_BRAFLDRAFT_130974.1.1|m.28374	61
CHOYP_LOC582178.1.1|m.42729	61
CHOYP_NPC2.6.7|m.31030	61
CHOYP_DX39B.2.3|m.18241	61
CHOYP_TRIADDRAFT_57086.1.1|m.25271	60
CHOYP_ACLY.1.1|m.65081	60
CHOYP_UBP47.2.2|m.66754	60
CHOYP_CHD5.2.2|m.28708	60
CHOYP_EIF3C.1.1|m.7991	60
CHOYP_CDPK5.1.1|m.6214	59
CHOYP_LOC754102.1.1|m.57578	59
CHOYP_PSMD1.1.1|m.21682	59
CHOYP_BRAFLDRAFT_204736.2.2|m.63327	59
CHOYP_LOC100633041.1.1|m.35428	59
CHOYP_VOLCADRAFT_93060.2.2|m.26741	58
CHOYP_PABP4.4.6|m.38167	58
CHOYP_IPO5.1.1|m.25693	58
CHOYP_COPB.1.1|m.16988	58
CHOYP_PLIN2.1.1|m.23758	58
CHOYP_PPN.2.4|m.44929	58
CHOYP_LOC100533261.1.1|m.36141	58
CHOYP_SMP_078690.3.5|m.2272	57
CHOYP_GIGA6.1.1|m.38687	57
CHOYP_DHSAB.1.1|m.25026	57
CHOYP_ERF3A.1.1|m.57282	56
CHOYP_LOC582874.1.1|m.5135	56
CHOYP_DDX3Y.1.1|m.3679	55
CHOYP_LOC575203.6.6|m.30705	55
CHOYP_BRAFLDRAFT_124686.1.1|m.18409	55
CHOYP_OAT.1.1|m.3069	55
CHOYP_AAEL_AAEL008069.2.2|m.60920	55
CHOYP_ISCW_ISCW011108.1.1|m.13934	55
CHOYP_DPSE_GA27121.1.1|m.6089	55
CHOYP_14332.1.2|m.5643	55
CHOYP_ISCW_ISCW001592.1.2|m.20852	55
CHOYP_LOC100374272.5.6|m.57085	55
CHOYP_LOC100883864.1.1|m.41791	54
CHOYP_contig_005583|m.6332	54
CHOYP_LOC100377378.1.1|m.64418	54
CHOYP_contig_038370|m.43386	54
CHOYP_BRAFLDRAFT_129513.1.1|m.51276	53
CHOYP_AGAP_AGAP002739.4.5|m.55695	53
CHOYP_TCPH.1.1|m.7312	53
CHOYP_1433G.2.2|m.63450	53
CHOYP_ENPL.3.4|m.39476	52
CHOYP_RS5.1.2|m.146	52
