PROTID	sample 28
CHOYP_EF1A.2.4|m.50858	596
CHOYP_MYS.4.7|m.18188	551
CHOYP_FLNC.2.5|m.37450	490
CHOYP_PHUM_PHUM226120.7.7|m.54053	430
CHOYP_LOC100636493.1.1|m.65727	417
CHOYP_EF2.4.5|m.30186	407
CHOYP_MATN1.2.5|m.45361	406
CHOYP_MATN1.3.5|m.46206	353
CHOYP_TBB4B.1.7|m.12262	342
CHOYP_MBCDH18.1.1|m.34344	315
CHOYP_CO6A5.1.6|m.5838	315
CHOYP_GBLP.3.7|m.20931	298
CHOYP_TBB4B.7.7|m.63980	292
CHOYP_LOC100649130.1.1|m.58207	292
CHOYP_MYSP.4.9|m.2302	291
CHOYP_MYS.7.7|m.44342	287
CHOYP_BRAFLDRAFT_115608.1.1|m.25984	283
CHOYP_SPTCA.1.2|m.1905	277
CHOYP_KARG.2.11|m.2196	263
CHOYP_CLH1.2.2|m.22327	256
CHOYP_MYSP.8.9|m.44813	255
CHOYP_ATPB.1.1|m.21960	247
CHOYP_LDLR.6.7|m.57984	247
CHOYP_MYS.7.7|m.44341	244
CHOYP_LOC100533447.2.3|m.44496	222
CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817	220
CHOYP_TLN1.4.4|m.33719	219
CHOYP_HSP90AA1.1.1|m.14867	218
CHOYP_contig_043818|m.50622	216
CHOYP_HMCN1.23.44|m.42684	209
CHOYP_LOC100890099.1.1|m.11505	204
CHOYP_TRIADDRAFT_63204.1.2|m.30701	199
CHOYP_LOC100197130.2.2|m.39076	199
CHOYP_PDIA1.1.1|m.5297	197
CHOYP_HSP7D.2.3|m.34782	196
CHOYP_VIGLN.1.2|m.34766	187
CHOYP_CHER.1.1|m.63350	180
CHOYP_DYHC1.1.1|m.2432	178
CHOYP_LOC101173335.2.4|m.33982	174
CHOYP_ACTN.1.2|m.15252	173
CHOYP_LOC100114310.2.2|m.64227	168
CHOYP_TBA2.1.1|m.955	165
CHOYP_AGAP_AGAP002739.1.5|m.19925	163
CHOYP_ATPA.1.1|m.50245	162
CHOYP_LOC100533294.1.3|m.35108	155
CHOYP_GRP75.1.1|m.11678	149
CHOYP_RGD1561408.1.2|m.4308	149
CHOYP_ANK3.3.9|m.6798	146
CHOYP_SMP_051990.4.7|m.9424	145
CHOYP_PHUM_PHUM289860.1.1|m.44779	142
CHOYP_UBA1.2.2|m.30036	140
CHOYP_ACON.1.1|m.61060	140
CHOYP_LOC594315.1.1|m.28047	139
CHOYP_LOC100377364.2.2|m.52803	137
CHOYP_TERA.1.1|m.29200	134
CHOYP_MVP.1.1|m.56230	134
CHOYP_TCPD.1.1|m.13556	133
CHOYP_CH60.1.1|m.26967	132
CHOYP_BRAFLDRAFT_129259.1.1|m.9267	130
CHOYP_HEX.1.1|m.43068	128
CHOYP_LOC101156984.2.2|m.22956	126
CHOYP_LOC100372926.2.3|m.61794	125
CHOYP_ENO.1.2|m.7681	123
CHOYP_EF1G.3.3|m.63510	123
CHOYP_GRP78.2.5|m.33058	122
CHOYP_LOC101169658.2.3|m.20752	121
CHOYP_DYHC.1.3|m.10664	120
CHOYP_ABCF2.1.2|m.28362	120
CHOYP_BRAFLDRAFT_82353.1.1|m.13454	118
CHOYP_LOC100875585.1.1|m.8714	118
CHOYP_2AAA.1.1|m.13306	117
CHOYP_ACT3.3.3|m.66907	116
CHOYP_BRAFLDRAFT_80496.6.10|m.29014	116
CHOYP_LOC100372131.1.2|m.36461	115
CHOYP_SMP_089460.1.1.1|m.34779	115
CHOYP_LOC100648516.1.1|m.64902	112
CHOYP_1433E.1.2|m.3638	111
CHOYP_NEMVEDRAFT_V1G120119.1.2|m.6082	110
CHOYP_SAHHA.1.1|m.62610	109
CHOYP_COPA.1.1|m.31888	109
CHOYP_BRAFLDRAFT_277494.3.3|m.62602	109
CHOYP_RS3.2.7|m.23037	108
CHOYP_GCN1L.1.1|m.1352	107
CHOYP_GELS2.2.2|m.30443	106
CHOYP_BRAFLDRAFT_279789.3.3|m.48128	106
CHOYP_PSA.1.1|m.27259	106
CHOYP_LOC100166368.1.1|m.44709	104
CHOYP_HS74L.1.1|m.24610	102
CHOYP_COPG2.1.1|m.60836	102
CHOYP_LOC100376187.1.2|m.22540	102
CHOYP_LOC100877689.2.2|m.26187	99
CHOYP_HNRPR.1.2|m.44125	98
CHOYP_TRIADDRAFT_57086.1.1|m.25271	98
CHOYP_PCKG.1.2|m.43785	97
CHOYP_WDR1.1.1|m.29076	97
CHOYP_RADI.1.2|m.2373	96
CHOYP_EF2.5.5|m.39856	96
CHOYP_ENPL.3.4|m.39476	96
CHOYP_NPC2.6.7|m.31030	93
CHOYP_CD109.1.2|m.7033	92
CHOYP_LOC587133.1.1|m.61281	92
CHOYP_COPB2.1.1|m.11046	92
CHOYP_DDX3Y.1.1|m.3679	91
CHOYP_ODO1.2.2|m.23540	90
CHOYP_KPYM.1.1|m.33498	89
CHOYP_RLA0.3.7|m.42196	89
CHOYP_TCPB.1.1|m.6398	88
CHOYP_LOC100121788.1.1|m.28436	88
CHOYP_VOLCADRAFT_93060.2.2|m.26741	87
CHOYP_U520.1.1|m.7087	87
CHOYP_LOC660560.1.4|m.31036	86
CHOYP_PABP4.4.6|m.38167	86
CHOYP_LOC575203.6.6|m.30705	86
CHOYP_TCPH.1.1|m.7312	86
CHOYP_contig_045550|m.53021	86
CHOYP_EMAL1.1.1|m.58030	85
CHOYP_UBP47.2.2|m.66754	85
CHOYP_LOC101072646.1.1|m.8800	85
CHOYP_LOC100168945.1.1|m.37004	84
CHOYP_LOC100186361.3.3|m.66600	84
CHOYP_VATA.1.1|m.44460	84
CHOYP_DNAH5.2.2|m.61452	83
CHOYP_MLE.1.9|m.15462	83
CHOYP_SMP_012720.2.2|m.34968	83
CHOYP_MDHM.1.1|m.43603	83
CHOYP_TCPQ.1.1|m.57792	82
CHOYP_BRAFLDRAFT_121562.1.1|m.37268	82
CHOYP_CATB.1.2|m.5440	81
CHOYP_LOC578672.2.2|m.44884	81
CHOYP_ALF.2.3|m.40474	81
CHOYP_AT1A.1.1|m.18017	81
CHOYP_LOC100180023.1.7|m.11060	81
CHOYP_ACLY.1.1|m.65081	80
CHOYP_MDHC.1.1|m.57053	80
CHOYP_TAGL3.1.1|m.31031	79
CHOYP_AATM.1.1|m.32176	79
CHOYP_CNDP2.3.4|m.30467	79
CHOYP_NF70.4.4|m.63507	78
CHOYP_LOC100883864.1.1|m.41791	78
CHOYP_LOC588883.3.3|m.38321	78
CHOYP_ALDH2.3.3|m.25044	78
CHOYP_LOC100703423.1.1|m.940	78
CHOYP_BRAFLDRAFT_228853.1.1|m.9833	78
CHOYP_BRAFLDRAFT_66627.1.1|m.40620	78
CHOYP_LOC100699383.1.1|m.63490	77
CHOYP_LOC582178.1.1|m.42729	77
CHOYP_DMBT1.13.34|m.27666	76
CHOYP_LOC100369378.1.1|m.5391	76
CHOYP_BRAFLDRAFT_129513.1.1|m.51276	76
CHOYP_BRAFLDRAFT_122807.1.1|m.3729	76
CHOYP_BRAFLDRAFT_203026.1.1|m.61263	76
CHOYP_ADD.3.5|m.17639	76
CHOYP_EIF5A.1.3|m.22684	75
CHOYP_LOC100369294.3.6|m.24633	75
CHOYP_1433G.2.2|m.63450	75
CHOYP_ISCW_ISCW011108.1.1|m.13934	75
CHOYP_TBA3.1.1|m.5111	75
CHOYP_LOC576511.1.1|m.53180	74
CHOYP_LOC100371750.2.2|m.64949	74
CHOYP_LOC100366708.1.1|m.19335	74
CHOYP_DHE4.1.1|m.48536	73
CHOYP_EIF3C.1.1|m.7991	73
CHOYP_LOC100876515.2.2|m.54514	73
CHOYP_LOC100371677.1.1|m.122	73
CHOYP_BRAFLDRAFT_124069.1.1|m.14145	73
CHOYP_CDPK5.1.1|m.6214	72
CHOYP_LOC100748395.4.7|m.40663	72
CHOYP_CISY.1.1|m.36666	72
CHOYP_ERF3A.1.1|m.57282	72
CHOYP_PLIN2.1.1|m.23758	72
CHOYP_SBP1.1.2|m.2083	72
CHOYP_contig_038370|m.43386	72
CHOYP_SYAC.2.2|m.18500	71
CHOYP_LRP5.1.3|m.18025	70
CHOYP_BRAFLDRAFT_114866.4.5|m.35627	70
CHOYP_EF2.5.5|m.39855	70
CHOYP_IPO5.1.1|m.25693	70
CHOYP_LOC100376272.3.4|m.30522	70
CHOYP_QCR2.1.1|m.35613	70
CHOYP_LOC100370552.2.2|m.59438	70
CHOYP_LOC100374272.5.6|m.57085	70
CHOYP_LOC100492576.1.1|m.7775	69
CHOYP_contig_005583|m.6332	69
CHOYP_LOC582874.1.1|m.5135	69
CHOYP_PGK1.1.1|m.27254	69
CHOYP_DHSAB.1.1|m.25026	69
CHOYP_C1TC.1.1|m.28294	69
CHOYP_CHD5.2.2|m.28708	68
CHOYP_SAP.1.2|m.13958	68
CHOYP_LOC100175959.4.7|m.28172	68
CHOYP_ANK3.7.9|m.43272	68
CHOYP_SMP_078690.3.5|m.2272	67
CHOYP_LOC100377034.1.1|m.6251	67
CHOYP_BRAFLDRAFT_204736.2.2|m.63327	67
CHOYP_GIGA6.1.1|m.38687	67
CHOYP_LOC100369745.1.1|m.18815	67
CHOYP_BRAFLDRAFT_118602.2.5|m.17419	66
CHOYP_MTR_027S0011.1.1|m.29241	66
CHOYP_PSMD1.1.1|m.21682	66
CHOYP_LOC100533387.1.1|m.56131	66
CHOYP_BRAFLDRAFT_124476.1.4|m.1812	66
CHOYP_TENS3.3.4|m.52970	66
CHOYP_ACSL1.1.1|m.685	66
CHOYP_RSSA.1.10|m.2054	65
CHOYP_PPN.2.4|m.44929	65
CHOYP_FLNA.1.6|m.11089	65
CHOYP_CUL3B.1.1|m.61644	65
CHOYP_CALM.22.50|m.31010	65
CHOYP_ACT.23.27|m.58454	64
CHOYP_BRAFLDRAFT_124686.1.1|m.18409	64
CHOYP_COPB.1.1|m.16988	64
CHOYP_DX39B.2.3|m.18241	64
CHOYP_EIF3B.1.1|m.12232	64
CHOYP_LOC100377378.1.1|m.64418	64
CHOYP_DPSE_GA27121.1.1|m.6089	64
CHOYP_LOC100367353.1.1|m.32092	64
CHOYP_LOC100378221.1.1|m.29052	64
CHOYP_LOC100371236.1.1|m.62865	64
CHOYP_OAT.1.1|m.3069	63
CHOYP_RL4.2.6|m.4481	63
CHOYP_BRAFLDRAFT_266781.1.2|m.24880	63
CHOYP_BRAFLDRAFT_91441.1.1|m.47971	63
CHOYP_SEC23B.1.1|m.12147	63
CHOYP_KIF2A.2.2|m.62687	63
CHOYP_LOC590971.1.1|m.30661	63
CHOYP_contig_041958|m.48141	61
CHOYP_U5S1.1.1|m.49230	61
CHOYP_LOC100123216.1.1|m.28671	61
CHOYP_TPP2.1.1|m.24017	61
CHOYP_CLU.1.1|m.8566	61
CHOYP_LOC100373045.1.1|m.16825	60
CHOYP_BRAFLDRAFT_130974.1.1|m.28374	60
CHOYP_PDIA6.1.2|m.9012	60
CHOYP_LOC656867.1.1|m.28658	60
CHOYP_ME3.1.1|m.58433	60
CHOYP_NRP.4.4|m.44647	60
CHOYP_SF3B3.1.1|m.45473	60
CHOYP_AGAP_AGAP002739.4.5|m.55695	59
CHOYP_LMNB2.1.1|m.55999	59
CHOYP_SYTC.1.1|m.35709	59
CHOYP_UGGG1.1.1|m.59266	59
CHOYP_SRC.1.2|m.2503	59
CHOYP_LOC594665.1.1|m.8449	59
K1C9_HUMAN	58
